,age_range,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,harass_np,harass_np_exp,haras_np_day,harass_np_place,right_viol,right_viol_year,right_viol_year_count,right_viol_day,right_viol_place,confidence_level_np,one_word,suggestions
42,15 - 39,Rarely,I can't remember having any,I can't remember having any positive experience ,Often,The Nigerian Police in Ikoyi,I was accused of what I didn't do and we went to Court after they expected I was going to pay them to saved myself from the situation I didn't do,Yes,2008 to 2010,Thursday,Lagos,Yes,2008 to 2010,,Thursday,Lagos,2,I try to avoid anything that would bring me to constantly interact with police ,The problems are to wide to give a one liner recommendation
43,15 - 39,Rarely,Nigerian Mobile Police,"I rarely meet with them.
I think my kind of person is not the type they want to interrogate.",Rarely,Nigerian Mobile Police,"I rarely meet with them.
I think my kind of person is not the type they want to interrogate.",No,None,None,None,No,None,,None,None,3,"The major experience I can say I have with them is tagged ""an indirect experience"", that's anytime I'm in the bus travelling, they might delay the bus unjustly.","They need to be more professional.
The job should be seen as an honour to be a member of the force.
Government should provide some basic amenities.
And most importantly, any err officer should be discipline according to the law."
44,15 - 39,Rarely,None,None,Rarely,None,None,No,None,None,None,Yes,2020,,None,None,1,None,None
45,15 - 39,Often,Nigerian Mobile Police,They don't disturb us for money anytime we go to school.,Rarely,None,None,No,None,None,None,No,None,,None,None,6,They need monitoring.,None
46,15 - 39,Rarely,None,None,Rarely,None,None,No,None,None,None,Yes,2020,,Friday,Lagos,5,None,None
47,15 - 39,Rarely,None,I had none,Rarely,none,I had none,No,None,None,None,No,None,,None,None,3,Don't have any,They should stop harassing citizens  and taking bribe 
48,15 - 39,Rarely,Nigerian Mobile Police,None,Rarely,Nigerian Mobile Police,None,No,None,None,None,Yes,2020,,Thursday,Lagos,4,None,None
49,15 - 39,Rarely,Nigerian Mobile Police,None,Often,Nigerian Mobile Police,Physical harassment ,Yes,2020,None,Lagos,Yes,2021;2020;2019,,None,Lagos,2,None,None
50,15 - 39,Rarely,None,None,Often,Nigerian Mobile Police,None,No,None,None,None,Yes,2018,,Wednesday,Lagos,2,Unimpressive ,They should stop harassing citizens and carry out their duties effectively 
51,15 - 39,Rarely,Nigerian Mobile Police,None,Rarely,Nigerian Mobile Police;National Security Organization,Sold a goods without issuing a proper invoice,No,None,None,None,No,None,,None,None,4,Uninteresting,They have to make the decision to change first. Anything I suggest here won't work. 
52,15 - 39,Rarely,Nigerian Mobile Police,Not bad,Rarely,Nigerian Mobile Police,Harassment ,Yes,2021,Friday,Osun,No,None,,None,None,6,Not bad,They need more orientation 
53,15 - 39,Rarely,Nigerian police,None,Rarely,Nigerian police,They arrested my dad for fake money ,No,None,None,None,Yes,2021,,Wednesday,Lagos,3,None,None
54,15 - 39,Often,Nigerian Mobile Police,None,Rarely,Nigerian Mobile Police,None,Yes,2021,Friday,Lagos,Yes,2021,,Wednesday,Lagos,4,Hungry,None
