,age_range,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,harass_np,,harass_np_year,haras_np_day,harass_np_place,right_viol,right_viol_year,,right_viol_day,right_viol_place,confidence_level_np,one_word,suggestions
19,15 - 39,Rarely,Nigerian Mobile Police,,Often,Nigerian Mobile Police,,Yes,,2019,Friday,Federal Capital Territory (FCT),Yes,2017,,Thursday,Federal Capital Territory (FCT),3,Scary ,An overhaul restructuring 
19,15 - 39,Rarely,Nigerian Mobile Police,,Often,Nigerian Mobile Police,,Yes,,2018,Friday,Federal Capital Territory (FCT),Yes,2017,,Thursday,Federal Capital Territory (FCT),3,Scary ,An overhaul restructuring 
19,15 - 39,Rarely,Nigerian Mobile Police,,Often,Nigerian Mobile Police,,Yes,,2017,Friday,Federal Capital Territory (FCT),Yes,2017,,Thursday,Federal Capital Territory (FCT),3,Scary ,An overhaul restructuring 
19,15 - 39,Rarely,Nigerian Mobile Police,,Often,Nigerian Mobile Police,,Yes,,2016,Friday,Federal Capital Territory (FCT),Yes,2017,,Thursday,Federal Capital Territory (FCT),3,Scary ,An overhaul restructuring 
20,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2019,,Saturday,Lagos,4,Toxic,Be a friend indeed to the people rather than an enemy
21,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,No,,,,,5,,
22,15 - 39,Rarely,,,Rarely,,,No,,,,,Yes,2020,,,,5,,
23,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,No,,,,,5,Normal,
24,15 - 39,Rarely,,,Often,Nigerian Mobile Police,"Molestation, Stop and Search with intention to dupe and receive bribe",Yes,,2020,Saturday,Delta,Yes,2020,,Friday,Edo,2,,
25,15 - 39,Rarely,,,Rarely,,,No,,,,,No,,,,,4,Incompetency,Decentralising policing and presence will deter crime and allow for better monitoring
26,15 - 39,Rarely,Nigerian Mobile Police,,Often,Nigerian Mobile Police,Took a turn without the sign not to turn and they wanted to haul me to their office to pay almost 50 thousand naira while trying to sexually harass me ,Yes,,2021,Saturday,Lagos,Yes,2021,,Saturday,Lagos,2,Disappointing,"Probably reduce the number of agencies currently available now, then with those they can manage, provide them incentives to motivate them not to always want to extort or harass."
